timestamp,temperature,humidity,occupancy,heat_gain_watts,comfort_score,category
2026-07-27 14:45:49,32.0,70.0,4,225.0,40.6,Hot / Uncomfortable
2026-07-27 14:46:43,29.0,66.0,3,202.5,37.5,Hot / Uncomfortable
